date,population,status,exceedance
2026-01-01T00:00:00,44.625,P,N
2026-01-01T01:00:00,24.275,P,N
2026-01-01T02:00:00,17.725,P,N
2026-01-01T03:00:00,13.950,P,N
2026-01-01T04:00:00,11.875,P,N
2026-01-01T05:00:00,6.775,P,N
2026-01-01T06:00:00,3.675,P,N
2026-01-01T07:00:00,3.000,P,N
2026-01-01T08:00:00,3.975,P,N
2026-01-01T09:00:00,5.325,P,N
2026-01-01T10:00:00,6.425,P,N
2026-01-01T11:00:00,11.350,P,N
2026-01-01T12:00:00,11.250,P,N
2026-01-01T13:00:00,8.950,P,N
2026-01-01T14:00:00,11.125,P,N
2026-01-01T15:00:00,8.600,P,N
2026-01-01T16:00:00,5.075,P,N
2026-01-01T17:00:00,6.925,P,N
2026-01-01T18:00:00,14.825,P,N
2026-01-01T19:00:00,10.425,P,N
2026-01-01T20:00:00,10.800,P,N
2026-01-01T21:00:00,11.575,P,N
2026-01-01T22:00:00,11.250,P,N
2026-01-01T23:00:00,9.650,P,N
2026-01-02T00:00:00,8.625,P,N
2026-01-02T01:00:00,4.400,P,N
2026-01-02T02:00:00,1.700,P,N
2026-01-02T03:00:00,2.175,P,N
2026-01-02T04:00:00,2.075,P,N
2026-01-02T05:00:00,3.525,P,N
2026-01-02T06:00:00,4.925,P,N
2026-01-02T07:00:00,7.200,P,N
2026-01-02T08:00:00,8.725,P,N
2026-01-02T09:00:00,10.550,P,N
2026-01-02T10:00:00,10.550,P,N
2026-01-02T11:00:00,8.500,P,N
2026-01-02T12:00:00,9.500,P,N
2026-01-02T13:00:00,8.950,P,N
2026-01-02T14:00:00,11.925,P,N
2026-01-02T15:00:00,13.600,P,N
2026-01-02T16:00:00,13.850,P,N
2026-01-02T17:00:00,10.725,P,N
2026-01-02T18:00:00,11.675,P,N
2026-01-02T19:00:00,12.600,P,N
2026-01-02T20:00:00,11.675,P,N
2026-01-02T21:00:00,10.325,P,N
2026-01-02T22:00:00,8.325,P,N
2026-01-02T23:00:00,7.050,P,N
2026-01-03T00:00:00,4.800,P,N
2026-01-03T01:00:00,5.850,P,N
2026-01-03T02:00:00,9.375,P,N
2026-01-03T03:00:00,6.375,P,N
2026-01-03T04:00:00,5.275,P,N
2026-01-03T05:00:00,3.575,P,N
2026-01-03T06:00:00,3.850,P,N
2026-01-03T07:00:00,4.600,P,N
2026-01-03T08:00:00,5.975,P,N
2026-01-03T09:00:00,6.100,P,N
2026-01-03T10:00:00,6.925,P,N
2026-01-03T11:00:00,19.700,P,N
2026-01-03T12:00:00,14.500,P,N
2026-01-03T13:00:00,17.375,P,N
2026-01-03T14:00:00,14.625,P,N
2026-01-03T15:00:00,9.475,P,N
2026-01-03T16:00:00,12.325,P,N
2026-01-03T17:00:00,13.550,P,N
2026-01-03T18:00:00,15.975,P,N
2026-01-03T19:00:00,22.175,P,N
2026-01-03T20:00:00,18.600,P,N
2026-01-03T21:00:00,17.150,P,N
