date,population,status,exceedance
2025-01-01T00:00:00,24.552,V,N
2025-01-01T01:00:00,10.943,V,N
2025-01-01T02:00:00,7.170,V,N
2025-01-01T03:00:00,5.873,V,N
2025-01-01T04:00:00,5.307,V,N
2025-01-01T05:00:00,3.184,V,N
2025-01-01T06:00:00,2.406,V,N
2025-01-01T07:00:00,2.217,V,N
2025-01-01T08:00:00,2.311,V,N
2025-01-01T09:00:00,2.359,V,N
2025-01-01T10:00:00,3.090,V,N
2025-01-01T11:00:00,4.764,V,N
2025-01-01T12:00:00,5.142,V,N
2025-01-01T13:00:00,4.646,V,N
2025-01-01T14:00:00,5.142,V,N
2025-01-01T15:00:00,4.340,V,N
2025-01-01T16:00:00,2.759,V,N
2025-01-01T17:00:00,3.491,V,N
2025-01-01T18:00:00,5.542,V,N
2025-01-01T19:00:00,4.741,V,N
2025-01-01T20:00:00,5.118,V,N
2025-01-01T21:00:00,5.401,V,N
2025-01-01T22:00:00,5.472,V,N
2025-01-01T23:00:00,4.953,V,N
2025-01-02T00:00:00,4.269,V,N
2025-01-02T01:00:00,2.335,V,N
2025-01-02T02:00:00,0.873,V,N
2025-01-02T03:00:00,0.967,V,N
2025-01-02T04:00:00,1.132,V,N
2025-01-02T05:00:00,1.627,V,N
2025-01-02T06:00:00,2.075,V,N
2025-01-02T07:00:00,3.325,V,N
2025-01-02T08:00:00,4.222,V,N
2025-01-02T09:00:00,4.929,V,N
2025-01-02T10:00:00,5.047,V,N
2025-01-02T11:00:00,4.198,V,N
2025-01-02T12:00:00,4.764,V,N
2025-01-02T13:00:00,4.481,V,N
2025-01-02T14:00:00,6.344,V,N
2025-01-02T15:00:00,7.217,V,N
2025-01-02T16:00:00,7.335,V,N
2025-01-02T17:00:00,6.297,V,N
2025-01-02T18:00:00,6.958,V,N
2025-01-02T19:00:00,7.311,V,N
2025-01-02T20:00:00,7.146,V,N
2025-01-02T21:00:00,6.297,V,N
2025-01-02T22:00:00,4.717,V,N
2025-01-02T23:00:00,3.939,V,N
2025-01-03T00:00:00,3.066,V,N
2025-01-03T01:00:00,3.160,V,N
2025-01-03T02:00:00,4.434,V,N
2025-01-03T03:00:00,3.208,V,N
2025-01-03T04:00:00,2.524,V,N
2025-01-03T05:00:00,1.981,V,N
2025-01-03T06:00:00,1.887,V,N
2025-01-03T07:00:00,2.193,V,N
2025-01-03T08:00:00,2.759,V,N
2025-01-03T09:00:00,2.948,V,N
2025-01-03T10:00:00,3.208,V,N
2025-01-03T11:00:00,4.623,V,N
2025-01-03T12:00:00,3.774,V,N
2025-01-03T13:00:00,4.151,V,N
2025-01-03T14:00:00,3.396,V,N
2025-01-03T15:00:00,2.877,V,N
2025-01-03T16:00:00,3.915,V,N
2025-01-03T17:00:00,5.189,V,N
2025-01-03T18:00:00,5.825,V,N
2025-01-03T19:00:00,7.429,V,N
2025-01-03T20:00:00,6.887,V,N
2025-01-03T21:00:00,6.981,V,N
2025-01-03T22:00:00,7.241,V,N
2025-01-03T23:00:00,6.722,V,N
